dataid	knownlabel	readtype	predictedlabel	readcounts	testclass
FPRT10	Influenza	INDEL	Metapneumovirus	0	Coronaviridae
FPRT10	Metapneumovirus	INDEL	Metapneumovirus	3	Coronaviridae
FPRT10	Rhinovirus	INDEL	Metapneumovirus	0	Coronaviridae
FPRT10	Sars_cov_2	INDEL	Metapneumovirus	0	Coronaviridae
FPRT10	Unrelated	INDEL	Metapneumovirus	0	Coronaviridae
FPRT10	Influenza	MM	Metapneumovirus	0	Coronaviridae
FPRT10	Metapneumovirus	MM	Metapneumovirus	3126	Coronaviridae
FPRT10	Rhinovirus	MM	Metapneumovirus	0	Coronaviridae
FPRT10	Sars_cov_2	MM	Metapneumovirus	0	Coronaviridae
FPRT10	Unrelated	MM	Metapneumovirus	0	Coronaviridae
FPRT10	Influenza	EQUAL	pDiscarded	7	Coronaviridae
FPRT10	Metapneumovirus	EQUAL	pDiscarded	4	Coronaviridae
FPRT10	Rhinovirus	EQUAL	pDiscarded	18	Coronaviridae
FPRT10	Sars_cov_2	EQUAL	pDiscarded	0	Coronaviridae
FPRT10	Unrelated	EQUAL	pDiscarded	21	Coronaviridae
FPRT10	Influenza	INDEL	pDiscarded	0	Coronaviridae
FPRT10	Metapneumovirus	INDEL	pDiscarded	0	Coronaviridae
FPRT10	Rhinovirus	INDEL	pDiscarded	0	Coronaviridae
FPRT10	Sars_cov_2	INDEL	pDiscarded	0	Coronaviridae
FPRT10	Unrelated	INDEL	pDiscarded	0	Coronaviridae
FPRT10	Influenza	MM	pDiscarded	12	Coronaviridae
FPRT10	Metapneumovirus	MM	pDiscarded	20	Coronaviridae
FPRT10	Rhinovirus	MM	pDiscarded	237	Coronaviridae
FPRT10	Sars_cov_2	MM	pDiscarded	1	Coronaviridae
FPRT10	Unrelated	MM	pDiscarded	10	Coronaviridae
FPRT10	Influenza	EQUAL	rc_discarded	6	Coronaviridae
FPRT10	Metapneumovirus	EQUAL	rc_discarded	5	Coronaviridae
FPRT10	Rhinovirus	EQUAL	rc_discarded	15	Coronaviridae
FPRT10	Sars_cov_2	EQUAL	rc_discarded	0	Coronaviridae
FPRT10	Unrelated	EQUAL	rc_discarded	7	Coronaviridae
FPRT10	Influenza	INDEL	rc_discarded	0	Coronaviridae
