filename class pp_0.95 reads prop_totalreads
SRR9274276 rc_discarded below 702 0.0650701
SRR11412227 SARS-CoV-2 below 1813 0.0480329
SRR11412227 Coronaviridae below 51 0.00135117
SRR11412227 Influenza below 1 2.64936e-5
SRR11412227 Metapneumovirus below 0 0
SRR11412227 Rhinovirus below 222 0.00588158
SRR11412227 Human below 1674673 44.3681
SRR11412227 Discarded below 2097170 55.5615
SRR11412227 rc_discarded below 569 0.0150748
SRR11412228 SARS-CoV-2 below 1739 0.0467657
SRR11412228 Coronaviridae below 52 0.0013984
SRR11412228 Influenza below 0 0
SRR11412228 Metapneumovirus below 0 0
SRR11412228 Rhinovirus below 68 0.00182867
SRR11412228 Human below 1650056 44.3738
SRR11412228 Discarded below 2066136 55.5631
SRR11412228 rc_discarded below 489 0.0131503
SRR11412229 SARS-CoV-2 below 1805 0.0474603
SRR11412229 Coronaviridae below 42 0.00110434
SRR11412229 Influenza below 0 0
SRR11412229 Metapneumovirus below 0 0
SRR11412229 Rhinovirus below 230 0.00604758
SRR11412229 Human below 1675996 44.0683
SRR11412229 Discarded below 2124540 55.8623
SRR11412229 rc_discarded below 562 0.0147771
SRR11412230 SARS-CoV-2 below 1751 0.0468698
SRR11412230 Coronaviridae below 57 0.00152574
SRR11412230 Influenza below 1 2.67674e-5
SRR11412230 Metapneumovirus below 0 0
SRR11412230 Rhinovirus below 86 0.002302
SRR11412230 Human below 1639093 43.8743
SRR11412230 Discarded below 2094390 56.0615
SRR11412230 rc_discarded below 504 0.0134908
SRR10971381 SARS-CoV-2 below 7336 0.189867
SRR10971381 Coronaviridae below 201 0.00520219
SRR10971381 Influenza below 13 3.3646e-4
SRR10971381 Metapneumovirus below 0 0
SRR10971381 Rhinovirus below 351 0.00908443
SRR10971381 Human below 1629797 42.1817
SRR10971381 Discarded below 2224027 57.5613
SRR10971381 rc_discarded below 2029 0.0525137
SRR4427249 SARS-CoV-2 below 0 0
SRR4427249 Coronaviridae below 7 0.00123514
SRR4427249 Influenza below 0 0
SRR4427249 Metapneumovirus below 0 0
SRR4427249 Rhinovirus below 4 7.05794e-4
