run	id	pacific	bwa	kraken
SRR4427252	SRR4427252:SRR4427252.74249:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.74250:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.74256:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.74258:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.74261:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.74291:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.74327:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.74327:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.74671:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.74671:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.74672:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.74672:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.74673:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.74673:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.74674:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.74674:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.74782:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.74828:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.74828:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.74983:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.76054:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.76054:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.76079:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.76079:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.76080:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.76080:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.76082:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.76082:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.76217:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.76217:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.76219:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.76219:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78422:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.78687:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78687:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78827:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78827:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78828:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78828:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78832:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78832:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78836:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78836:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78837:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78837:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78845:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78845:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78847:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78847:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78859:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78859:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78866:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78866:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78874:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78874:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78880:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78880:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78882:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.78883:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.78886:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.78896:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78896:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78924:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78924:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78935:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.78935:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.79055:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.79055:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.79076:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.79738:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.79738:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.80164:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.80164:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.82594:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.82594:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.83908:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.83908:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.83941:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.83941:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84063:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84063:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84064:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84064:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84240:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.84241:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84241:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84242:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84242:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84243:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.84251:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84251:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84256:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.84258:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84258:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84259:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.84262:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84262:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84263:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.84263:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.85781:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.85781:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.85867:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.85867:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.85868:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.85874:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.85874:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.85899:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.85900:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.85975:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.85975:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.85986:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.85986:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.85993:rhinovirus	fa	sam	kraken
