run	classifier	class	nreads	rproportion	study
SRR4427263	kraken	Sars_cov_2	0	0	GALA
SRR4427264	pacific	Coronaviridae	4	8.42639230333327e-4	GALA
SRR4427264	pacific	Rhinovirus	4	8.42639230333327e-4	GALA
SRR4427264	pacific	Influenza	0	0	GALA
SRR4427264	pacific	Metapneumovirus	0	0	GALA
SRR4427264	pacific	Sars_cov_2	0	0	GALA
SRR4427264	bwa	Coronaviridae	0	0	GALA
SRR4427264	bwa	Rhinovirus	1	2.1065980758333175e-4	GALA
SRR4427264	bwa	Influenza	0	0	GALA
SRR4427264	bwa	Metapneumovirus	0	0	GALA
SRR4427264	bwa	Sars_cov_2	0	0	GALA
SRR4427264	kraken	Coronaviridae	0	0	GALA
SRR4427264	kraken	Rhinovirus	0	0	GALA
SRR4427264	kraken	Influenza	0	0	GALA
SRR4427264	kraken	Metapneumovirus	0	0	GALA
SRR4427264	kraken	Sars_cov_2	0	0	GALA
SRR4427265	pacific	Coronaviridae	5	7.397894263376872e-4	GALA
SRR4427265	pacific	Rhinovirus	2	2.959157705350749e-4	GALA
SRR4427265	pacific	Influenza	0	0	GALA
SRR4427265	pacific	Metapneumovirus	0	0	GALA
SRR4427265	pacific	Sars_cov_2	0	0	GALA
SRR4427265	bwa	Coronaviridae	0	0	GALA
SRR4427265	bwa	Rhinovirus	0	0	GALA
SRR4427265	bwa	Influenza	0	0	GALA
SRR4427265	bwa	Metapneumovirus	0	0	GALA
SRR4427265	bwa	Sars_cov_2	0	0	GALA
SRR4427265	kraken	Coronaviridae	0	0	GALA
SRR4427265	kraken	Rhinovirus	0	0	GALA
SRR4427265	kraken	Influenza	0	0	GALA
SRR4427265	kraken	Metapneumovirus	0	0	GALA
SRR4427265	kraken	Sars_cov_2	0	0	GALA
SRR4427266	pacific	Coronaviridae	10	0.0018577933502144821	GALA
SRR4427266	pacific	Rhinovirus	6	0.0011146760101286893	GALA
SRR4427266	pacific	Influenza	0	0	GALA
SRR4427266	pacific	Metapneumovirus	0	0	GALA
SRR4427266	pacific	Sars_cov_2	0	0	GALA
SRR4427266	bwa	Coronaviridae	0	0	GALA
SRR4427266	bwa	Rhinovirus	0	0	GALA
SRR4427266	bwa	Influenza	0	0	GALA
SRR4427266	bwa	Metapneumovirus	0	0	GALA
SRR4427266	bwa	Sars_cov_2	0	0	GALA
SRR4427266	kraken	Coronaviridae	0	0	GALA
SRR4427266	kraken	Rhinovirus	0	0	GALA
SRR4427266	kraken	Influenza	0	0	GALA
SRR4427266	kraken	Metapneumovirus	0	0	GALA
SRR4427266	kraken	Sars_cov_2	0	0	GALA
SRR4427267	pacific	Influenza	105	0.014005826423792297	GALA
SRR4427267	pacific	Rhinovirus	6	8.00332938502417e-4	GALA
SRR4427267	pacific	Coronaviridae	5	6.669441154186808e-4	GALA
SRR4427267	pacific	Metapneumovirus	0	0	GALA
SRR4427267	pacific	Sars_cov_2	0	0	GALA
SRR4427267	bwa	Influenza	1661	0.22155883514208577	GALA
SRR4427267	bwa	Rhinovirus	0	0	GALA
SRR4427267	bwa	Coronaviridae	0	0	GALA
SRR4427267	bwa	Metapneumovirus	0	0	GALA
SRR4427267	bwa	Sars_cov_2	0	0	GALA
SRR4427267	kraken	Influenza	896	0.11951638548302759	GALA
SRR4427267	kraken	Rhinovirus	0	0	GALA
SRR4427267	kraken	Coronaviridae	0	0	GALA
SRR4427267	kraken	Metapneumovirus	0	0	GALA
SRR4427267	kraken	Sars_cov_2	0	0	GALA
SRR4427268	pacific	Rhinovirus	11	0.0013734445740199224	GALA
SRR4427268	pacific	Coronaviridae	4	4.994343905526991e-4	GALA
SRR4427268	pacific	Influenza	0	0	GALA
SRR4427268	pacific	Metapneumovirus	0	0	GALA
SRR4427268	pacific	Sars_cov_2	0	0	GALA
SRR4427268	bwa	Rhinovirus	0	0	GALA
SRR4427268	bwa	Coronaviridae	0	0	GALA
SRR4427268	bwa	Influenza	0	0	GALA
SRR4427268	bwa	Metapneumovirus	0	0	GALA
SRR4427268	bwa	Sars_cov_2	0	0	GALA
SRR4427268	kraken	Rhinovirus	0	0	GALA
SRR4427268	kraken	Coronaviridae	1	1.2485859763817478e-4	GALA
SRR4427268	kraken	Influenza	0	0	GALA
SRR4427268	kraken	Metapneumovirus	0	0	GALA
SRR4427268	kraken	Sars_cov_2	0	0	GALA
SRR4427269	pacific	Rhinovirus	8	0.0021323780279768	GALA
SRR4427269	pacific	Coronaviridae	2	5.330945069942e-4	GALA
